"sourcePaperID","followedOutLinks","followedInLinks","numBFSLevels","outputEdgeList","numFoundNodes","numFoundEdges","userTime","systemTime","totalTime","maxMemory"
2074760229,True,False,2,"2074760229-true-false-2.txt",682,847,2.102937,0.172092,2.275029,44484
2074760229,False,True,2,"2074760229-false-true-2.txt",31,31,0.8306819999999999,0.084101,0.9147829999999999,44384
2186855066,True,True,2,"2186855066-true-true-2.txt",1460,1861,2.111943,0.272816,2.3847590000000003,44232
2186855066,True,False,2,"2186855066-true-false-2.txt",178,245,1.187773,0.133247,1.3210199999999999,44256
2186855066,False,True,2,"2186855066-false-true-2.txt",1,0,0.406105,0.073459,0.479564,44248
2884484135,True,True,2,"2884484135-true-true-2.txt",1099,1655,1.245095,0.181358,1.426453,44248
2884484135,True,False,2,"2884484135-true-false-2.txt",300,386,0.771432,0.097966,0.869398,44480
2884484135,False,True,2,"2884484135-false-true-2.txt",1,0,0.42538,0.047152,0.47253199999999995,44272
2008918834,True,True,2,"2008918834-true-true-2.txt",32192,39471,10.331716,1.177688,11.509404,141924
2008918834,True,False,2,"2008918834-true-false-2.txt",1677,2066,3.382194,0.21598099999999998,3.5981750000000003,59568
2008918834,False,True,2,"2008918834-false-true-2.txt",209,212,2.079611,0.22664399999999998,2.3062549999999997,44156
2109264391,True,True,2,"2109264391-true-true-2.txt",4296,5826,5.925378,0.7645949999999999,6.689973,77452
2109264391,True,False,2,"2109264391-true-false-2.txt",802,1064,1.810632,0.225235,2.035867,44428
2109264391,False,True,2,"2109264391-false-true-2.txt",296,328,1.546638,0.12159099999999999,1.668229,44456
2113340460,True,True,2,"2113340460-true-true-2.txt",12109,14062,5.77248,0.546369,6.318849,80992
2113340460,True,False,2,"2113340460-true-false-2.txt",1267,1483,2.220325,0.173059,2.3933839999999997,44500
2113340460,False,True,2,"2113340460-false-true-2.txt",333,374,1.058729,0.12656799999999999,1.185297,44416
2758370349,True,True,2,"2758370349-true-true-2.txt",27568,36096,12.560214,1.520334,14.080548,159696
2758370349,True,False,2,"2758370349-true-false-2.txt",5353,6453,6.196361,0.423359,6.619719999999999,112764
2758370349,False,True,2,"2758370349-false-true-2.txt",1,0,0.432928,0.061028,0.49395599999999995,44516
2409118557,True,True,2,"2409118557-true-true-2.txt",220,220,1.350692,0.1981,1.548792,44732
2409118557,True,False,2,"2409118557-true-false-2.txt",38,38,0.726339,0.08338,0.809719,44436
2409118557,False,True,2,"2409118557-false-true-2.txt",40,39,0.517235,0.052647,0.569882,44464
1988160561,True,True,2,"1988160561-true-true-2.txt",268949,294447,51.643037,6.004527,57.647564,356484
1988160561,True,False,2,"1988160561-true-false-2.txt",3929,6046,20.181605,1.880448,22.062053000000002,198760
1988160561,False,True,2,"1988160561-false-true-2.txt",374,429,6.631725,0.7278819999999999,7.3596070000000005,117688
21318835,True,True,2,"21318835-true-true-2.txt",117573,136019,16.459721,1.68658,18.146300999999998,216412
21318835,True,False,2,"21318835-true-false-2.txt",4156,5471,7.567086,0.44925899999999996,8.016345,139116
21318835,False,True,2,"21318835-false-true-2.txt",1,0,0.359251,0.114684,0.473935,44516
2138694709,True,True,2,"2138694709-true-true-2.txt",150,164,1.700584,0.19298099999999999,1.8935650000000002,44288
2138694709,True,False,2,"2138694709-true-false-2.txt",77,80,0.99615,0.131817,1.127967,44396
2138694709,False,True,2,"2138694709-false-true-2.txt",1,0,0.408364,0.069364,0.477728,44276
2566945846,True,True,2,"2566945846-true-true-2.txt",70985,94680,6.094121,0.586414,6.680535000000001,103804
2566945846,True,False,2,"2566945846-true-false-2.txt",2741,3013,2.864801,0.216781,3.081582,50816
2566945846,False,True,2,"2566945846-false-true-2.txt",1,0,0.400098,0.066659,0.466757,44368
2876175415,True,True,2,"2876175415-true-true-2.txt",2454,2859,5.594589,0.6354989999999999,6.230088,53440
2876175415,True,False,2,"2876175415-true-false-2.txt",1259,1438,2.875619,0.202682,3.0783009999999997,50512
2876175415,False,True,2,"2876175415-false-true-2.txt",1,0,0.382276,0.09041199999999999,0.472688,44268
1980662840,True,True,2,"1980662840-true-true-2.txt",8361,14241,1.8446449999999999,0.254039,2.098684,44264
1980662840,True,False,2,"1980662840-true-false-2.txt",324,400,1.017322,0.123719,1.141041,44412
1980662840,False,True,2,"1980662840-false-true-2.txt",1,0,0.39495199999999997,0.07235699999999999,0.467309,44380
2581965881,True,True,2,"2581965881-true-true-2.txt",79182,99344,13.055674,1.5508229999999998,14.606497,222836
2581965881,True,False,2,"2581965881-true-false-2.txt",2580,3592,5.936312,0.380949,6.317261,109064
2581965881,False,True,2,"2581965881-false-true-2.txt",10,13,0.819549,0.139199,0.9587479999999999,44296
1613874234,True,True,2,"1613874234-true-true-2.txt",8076,10316,5.379539,0.559157,5.938696,65236
1613874234,True,False,2,"1613874234-true-false-2.txt",1511,1877,2.445986,0.23207999999999998,2.678066,44324
1613874234,False,True,2,"1613874234-false-true-2.txt",25,24,0.633935,0.07435599999999999,0.708291,44280
2158095420,True,True,2,"2158095420-true-true-2.txt",11695,18952,14.066938,1.462526,15.529464,168052
2158095420,True,False,2,"2158095420-true-false-2.txt",1119,1398,3.162519,0.255073,3.417592,54412
2158095420,False,True,2,"2158095420-false-true-2.txt",3585,4494,4.426143,0.478802,4.904945,78416
2003485066,True,True,2,"2003485066-true-true-2.txt",4697,6528,8.20029,0.9058229999999999,9.106113,112900
2003485066,True,False,2,"2003485066-true-false-2.txt",377,485,1.458323,0.139633,1.597956,44364
2003485066,False,True,2,"2003485066-false-true-2.txt",807,1027,3.093079,0.258912,3.351991,55432
2121045125,True,True,2,"2121045125-true-true-2.txt",72400,137363,34.302209,3.479327,37.781535999999996,260920
2121045125,True,False,2,"2121045125-true-false-2.txt",7114,14153,16.577579,1.76499,18.342569,184648
